english_sentence,alc_statement
Nothing that is a researcher is a library.,Researcher ⊑ ¬Library
A service is something that teaches a movie.,Service ⊑ ∃teaches.Movie
No scientist is a library.,Scientist ⊑ ¬Library
No customer is a supplier.,Customer ⊑ ¬Supplier
Nothing that is a teacher is a researcher.,Teacher ⊑ ¬Researcher
All products are publications.,Product ⊑ Publication
Every school is a product that attends only citys.,School ⊑ Product ⊓ ∀attends.City
Anything that produces only vehicles.,∀produces.Vehicle
A book likes exclusively orders.,Book ⊑ ∀likes.Order
A software and a person.,Software ⊓ Person
Each music uses a movie.,Music ⊑ ∃uses.Movie
No project is a organization.,Project ⊑ ¬Organization
A organization is always a student.,Organization ⊑ Student
Every artist likes at least one school.,Artist ⊑ ∃likes.School
Anything that likes a person also likes a device.,∃likes.Person ⊑ ∃likes.Device
A project cannot be a scientist.,Project ⊑ ¬Scientist
A student cannot be a machine.,Student ⊑ ¬Machine
Anything that supervises a food also supervises a plant.,∃supervises.Food ⊑ ∃supervises.Plant
Every manager attends only things that are either a music or a person.,Manager ⊑ ∀attends.(Music ⊔ Person)
Every movie that knows a device is a scientist.,Movie ⊓ ∃knows.Device ⊑ Scientist
A bank cannot be a machine.,Bank ⊑ ¬Machine
A patient is neither a car nor a service.,Patient ⊑ ¬(Car ⊔ Service)
A company cannot be a book.,Company ⊑ ¬Book
"If a dog supervises anything, it must be a software.",Dog ⊑ ∀supervises.Software
A publication or a vehicle.,Publication ⊔ Vehicle
A project is always a student.,Project ⊑ Student
A researcher is something that authors a food.,Researcher ⊑ ∃authors.Food
Anything that is located in a hardware.,∃locatedIn.Hardware
All courses are scientists.,Course ⊑ Scientist
Each transaction reads a doctor.,Transaction ⊑ ∃reads.Doctor
Anything that owns a machine also owns a student.,∃owns.Machine ⊑ ∃owns.Student
A publication cannot be a organization.,Publication ⊑ ¬Organization
Whatever is both a patient and a cat is located in a dog.,Patient ⊓ Cat ⊑ ∃locatedIn.Dog
Anything that funds a course also funds a library.,∃funds.Course ⊑ ∃funds.Library
Every car is a bank.,Car ⊑ Bank
All citys are employees.,City ⊑ Employee
Anything that develops only suppliers.,∀develops.Supplier
A artist is neither a product nor a food.,Artist ⊑ ¬(Product ⊔ Food)
Whatever is both a animal and a engineer knows a manager.,Animal ⊓ Engineer ⊑ ∃knows.Manager
Each machine knows a library.,Machine ⊑ ∃knows.Library
A order or a department.,Order ⊔ Department
Anything that buys a publication.,∃buys.Publication
A person is something that operates a researcher.,Person ⊑ ∃operates.Researcher
All researchers are universitys.,Researcher ⊑ University
Every invoice is a hardware.,Invoice ⊑ Hardware
Each supplier sells a company.,Supplier ⊑ ∃sells.Company
Nothing that is a order is a school.,Order ⊑ ¬School
Every school is a patient.,School ⊑ Patient
All projects are defined as a product or a patient.,Project ⊑ Product ⊔ Patient
Every transaction is a patient.,Transaction ⊑ Patient
All services are doctors.,Service ⊑ Doctor
All invoices are products.,Invoice ⊑ Product
All services are accounts.,Service ⊑ Account
A employee is always a organization.,Employee ⊑ Organization
All books are hospitals as well as animals.,Book ⊑ Hospital ⊓ Animal
Nothing that is a researcher is a account.,Researcher ⊑ ¬Account
"If a school buys anything, it must be a library.",School ⊑ ∀buys.Library
A account is something that is located in a order.,Account ⊑ ∃locatedIn.Order
Anything that operates a vehicle.,∃operates.Vehicle
Every cat is a book.,Cat ⊑ Book
Anything that is located in only courses.,∀locatedIn.Course
Every order works for only things that are either a supplier or a project.,Order ⊑ ∀worksFor.(Supplier ⊔ Project)
All schools are defined as a machine or a manager.,School ⊑ Machine ⊔ Manager
Every publication has child only things that are either a bank or a building.,Publication ⊑ ∀hasChild.(Bank ⊔ Building)
All employees are companys.,Employee ⊑ Company
A patient is something that funds a animal.,Patient ⊑ ∃funds.Animal
A student teaches exclusively managers.,Student ⊑ ∀teaches.Manager
Each machine buys a hospital.,Machine ⊑ ∃buys.Hospital
No country is a teacher.,Country ⊑ ¬Teacher
Every country is a machine that operates at least one city.,Country ⊑ Machine ⊓ ∃operates.City
A hardware is neither a manager nor a account.,Hardware ⊑ ¬(Manager ⊔ Account)
A bank is neither a account nor a artist.,Bank ⊑ ¬(Account ⊔ Artist)
All dogs are devices as well as persons.,Dog ⊑ Device ⊓ Person
Every account is a manager that authors only dogs.,Account ⊑ Manager ⊓ ∀authors.Dog
All countrys are engineers.,Country ⊑ Engineer
All machines are animals.,Machine ⊑ Animal
Every hospital uses only things that are either a supplier or a scientist.,Hospital ⊑ ∀uses.(Supplier ⊔ Scientist)
Anything that works for a car.,∃worksFor.Car
A service and a machine.,Service ⊓ Machine
No invoice is a customer.,Invoice ⊑ ¬Customer
Every organization that supervises only patients is a invoice.,Organization ⊓ ∀supervises.Patient ⊑ Invoice
No project is a vehicle.,Project ⊑ ¬Vehicle
All hospitals are buildings.,Hospital ⊑ Building
Every dog is both a car and a department.,Dog ⊑ Car ⊓ Department
Nothing that is a vehicle is a bank.,Vehicle ⊑ ¬Bank
A scientist develops exclusively organizations.,Scientist ⊑ ∀develops.Organization
No engineer is a product.,Engineer ⊑ ¬Product
Every country that creates a course is a order.,Country ⊓ ∃creates.Course ⊑ Order
A student cannot be a vehicle.,Student ⊑ ¬Vehicle
Every service manages only softwares.,Service ⊑ ∀manages.Software
A invoice is always a employee.,Invoice ⊑ Employee
Every movie is a student that creates only artists.,Movie ⊑ Student ⊓ ∀creates.Artist
Every country is a patient that works for at least one software.,Country ⊑ Patient ⊓ ∃worksFor.Software
Every bank is both a food and a library.,Bank ⊑ Food ⊓ Library
A university buys exclusively scientists.,University ⊑ ∀buys.Scientist
Whatever is both a project and a researcher buys a doctor.,Project ⊓ Researcher ⊑ ∃buys.Doctor
Every transaction is a software.,Transaction ⊑ Software
A organization has child exclusively movies.,Organization ⊑ ∀hasChild.Movie
Every manager is located in only things that are either a software or a supplier.,Manager ⊑ ∀locatedIn.(Software ⊔ Supplier)
A software or a publication.,Software ⊔ Publication
Each plant designs a school.,Plant ⊑ ∃designs.School
Every university is both a device and a product.,University ⊑ Device ⊓ Product
Each person teaches a software.,Person ⊑ ∃teaches.Software
Every student teaches something that is both a country and a software.,Student ⊑ ∃teaches.(Country ⊓ Software)
A building is something that works for a dog.,Building ⊑ ∃worksFor.Dog
Every department develops only things that are either a book or a customer.,Department ⊑ ∀develops.(Book ⊔ Customer)
A music is neither a movie nor a doctor.,Music ⊑ ¬(Movie ⊔ Doctor)
Every hospital is located in only librarys.,Hospital ⊑ ∀locatedIn.Library
Every course reads something that is both a scientist and a movie.,Course ⊑ ∃reads.(Scientist ⊓ Movie)
"If a university designs anything, it must be a project.",University ⊑ ∀designs.Project
A supplier is neither a machine nor a movie.,Supplier ⊑ ¬(Machine ⊔ Movie)
Every artist is a employee that teaches only companys.,Artist ⊑ Employee ⊓ ∀teaches.Company
A plant manages exclusively cars.,Plant ⊑ ∀manages.Car
All orders are doctors as well as machines.,Order ⊑ Doctor ⊓ Machine
All hospitals are defined as a order or a teacher.,Hospital ⊑ Order ⊔ Teacher
Every city is a department that produces at least one hospital.,City ⊑ Department ⊓ ∃produces.Hospital
Every bank is a hardware that likes only cars.,Bank ⊑ Hardware ⊓ ∀likes.Car
Every customer that buys only plants is a patient.,Customer ⊓ ∀buys.Plant ⊑ Patient
A movie authors exclusively musics.,Movie ⊑ ∀authors.Music
A artist or a teacher.,Artist ⊔ Teacher
Every artist that supervises a organization is a engineer.,Artist ⊓ ∃supervises.Organization ⊑ Engineer
Every software is located in at least one city.,Software ⊑ ∃locatedIn.City
Anything that buys only students.,∀buys.Student
Every animal buys only projects.,Animal ⊑ ∀buys.Project
Every project is a hardware.,Project ⊑ Hardware
Every project develops at least one course.,Project ⊑ ∃develops.Course
A city is neither a artist nor a invoice.,City ⊑ ¬(Artist ⊔ Invoice)
"If a software uses anything, it must be a publication.",Software ⊑ ∀uses.Publication
A car supervises exclusively companys.,Car ⊑ ∀supervises.Company
"If a bank maintains anything, it must be a university.",Bank ⊑ ∀maintains.University
All orders are publications.,Order ⊑ Publication
Anything that maintains a school.,∃maintains.School
A manager maintains exclusively orders.,Manager ⊑ ∀maintains.Order
Every manager works for only things that are either a doctor or a animal.,Manager ⊑ ∀worksFor.(Doctor ⊔ Animal)
A researcher and a machine.,Researcher ⊓ Machine
All artists are defined as a movie or a scientist.,Artist ⊑ Movie ⊔ Scientist
Every vehicle manages only things that are either a account or a invoice.,Vehicle ⊑ ∀manages.(Account ⊔ Invoice)
Every transaction is both a vehicle and a building.,Transaction ⊑ Vehicle ⊓ Building
Whatever is both a person and a cat owns a department.,Person ⊓ Cat ⊑ ∃owns.Department
All countrys are dogs.,Country ⊑ Dog
No supplier is a cat.,Supplier ⊑ ¬Cat
Nothing that is a food is a company.,Food ⊑ ¬Company
A country cannot be a researcher.,Country ⊑ ¬Researcher
A dog is something that attends a music.,Dog ⊑ ∃attends.Music
Every organization that develops a company is a student.,Organization ⊓ ∃develops.Company ⊑ Student
A supplier is something that designs a manager.,Supplier ⊑ ∃designs.Manager
Anything that delivers a school.,∃delivers.School
All devices are scientists as well as softwares.,Device ⊑ Scientist ⊓ Software
Every teacher is a software that has child at least one transaction.,Teacher ⊑ Software ⊓ ∃hasChild.Transaction
Anything that treats a supplier also treats a service.,∃treats.Supplier ⊑ ∃treats.Service
No company is a doctor.,Company ⊑ ¬Doctor
A school is something that likes a patient.,School ⊑ ∃likes.Patient
Anything that supervises only suppliers.,∀supervises.Supplier
All engineers are softwares as well as orders.,Engineer ⊑ Software ⊓ Order
"If a engineer develops anything, it must be a city.",Engineer ⊑ ∀develops.City
Every bank buys at least one engineer.,Bank ⊑ ∃buys.Engineer
A university or a customer.,University ⊔ Customer
Every doctor that develops a dog is a cat.,Doctor ⊓ ∃develops.Dog ⊑ Cat
All employees are dogs as well as movies.,Employee ⊑ Dog ⊓ Movie
No engineer is a publication.,Engineer ⊑ ¬Publication
Every department is a employee that sells only librarys.,Department ⊑ Employee ⊓ ∀sells.Library
All customers are defined as a city or a bank.,Customer ⊑ City ⊔ Bank
All plants are researchers.,Plant ⊑ Researcher
A order is always a library.,Order ⊑ Library
Every hardware is both a scientist and a software.,Hardware ⊑ Scientist ⊓ Software
A invoice and a dog.,Invoice ⊓ Dog
Every music that uses a publication is a patient.,Music ⊓ ∃uses.Publication ⊑ Patient
A country maintains exclusively dogs.,Country ⊑ ∀maintains.Dog
All customers are hospitals.,Customer ⊑ Hospital
Every scientist is a music.,Scientist ⊑ Music
Every publication develops something that is both a animal and a school.,Publication ⊑ ∃develops.(Animal ⊓ School)
All organizations are departments as well as employees.,Organization ⊑ Department ⊓ Employee
Every library maintains at least one company.,Library ⊑ ∃maintains.Company
A order is something that teaches a hospital.,Order ⊑ ∃teaches.Hospital
Every course is either a order or a country.,Course ⊑ Order ⊔ Country
Every animal knows only things that are either a dog or a order.,Animal ⊑ ∀knows.(Dog ⊔ Order)
Anything that has child a cat.,∃hasChild.Cat
A product owns exclusively animals.,Product ⊑ ∀owns.Animal
A university and a scientist.,University ⊓ Scientist
A city cannot be a food.,City ⊑ ¬Food
Whatever is both a customer and a publication authors a artist.,Customer ⊓ Publication ⊑ ∃authors.Artist
A invoice is neither a cat nor a bank.,Invoice ⊑ ¬(Cat ⊔ Bank)
All patients are suppliers.,Patient ⊑ Supplier
Anything that teaches only plants.,∀teaches.Plant
Every bank is a library.,Bank ⊑ Library
Anything that produces a department also produces a researcher.,∃produces.Department ⊑ ∃produces.Researcher
Nothing that is a product is a order.,Product ⊑ ¬Order
Every building is a animal that treats only suppliers.,Building ⊑ Animal ⊓ ∀treats.Supplier
A dog is neither a engineer nor a manager.,Dog ⊑ ¬(Engineer ⊔ Manager)
Every patient is a doctor.,Patient ⊑ Doctor
Every patient that uses a doctor is a food.,Patient ⊓ ∃uses.Doctor ⊑ Food
Every country funds only things that are either a software or a school.,Country ⊑ ∀funds.(Software ⊔ School)
Every employee has child at least one person.,Employee ⊑ ∃hasChild.Person
No building is a machine.,Building ⊑ ¬Machine
Anything that treats a hospital.,∃treats.Hospital
A doctor and a department.,Doctor ⊓ Department
Whatever is both a plant and a product is located in a person.,Plant ⊓ Product ⊑ ∃locatedIn.Person
Each publication is located in a account.,Publication ⊑ ∃locatedIn.Account
Anything that works for a course also works for a artist.,∃worksFor.Course ⊑ ∃worksFor.Artist
A transaction cannot be a researcher.,Transaction ⊑ ¬Researcher
A school and a country.,School ⊓ Country
A building is neither a cat nor a car.,Building ⊑ ¬(Cat ⊔ Car)
All transactions are defined as a bank or a machine.,Transaction ⊑ Bank ⊔ Machine
Anything that operates a software also operates a employee.,∃operates.Software ⊑ ∃operates.Employee
All foods are defined as a artist or a course.,Food ⊑ Artist ⊔ Course
Every department manages only animals.,Department ⊑ ∀manages.Animal
Every hardware is a bank that uses only cars.,Hardware ⊑ Bank ⊓ ∀uses.Car
Every company is either a country or a food.,Company ⊑ Country ⊔ Food
All librarys are orders.,Library ⊑ Order
Every food is a organization that buys at least one music.,Food ⊑ Organization ⊓ ∃buys.Music
Every manager is either a project or a book.,Manager ⊑ Project ⊔ Book
A book cannot be a project.,Book ⊑ ¬Project
A software or a engineer.,Software ⊔ Engineer
Every engineer is a transaction that buys only doctors.,Engineer ⊑ Transaction ⊓ ∀buys.Doctor
Each supplier creates a vehicle.,Supplier ⊑ ∃creates.Vehicle
A music or a library.,Music ⊔ Library
Nothing that is a student is a book.,Student ⊑ ¬Book
Every library sells at least one course.,Library ⊑ ∃sells.Course
All musics are defined as a account or a person.,Music ⊑ Account ⊔ Person
All managers are scientists.,Manager ⊑ Scientist
Every teacher delivers only things that are either a country or a cat.,Teacher ⊑ ∀delivers.(Country ⊔ Cat)
Every book is a teacher that maintains at least one customer.,Book ⊑ Teacher ⊓ ∃maintains.Customer
Every car operates something that is both a dog and a transaction.,Car ⊑ ∃operates.(Dog ⊓ Transaction)
Every project owns only companys.,Project ⊑ ∀owns.Company
Every person is either a car or a animal.,Person ⊑ Car ⊔ Animal
Anything that uses a bank also uses a artist.,∃uses.Bank ⊑ ∃uses.Artist
A account is always a supplier.,Account ⊑ Supplier
Every organization reads only universitys.,Organization ⊑ ∀reads.University
All countrys are defined as a department or a company.,Country ⊑ Department ⊔ Company
Every food is a country that teaches only orders.,Food ⊑ Country ⊓ ∀teaches.Order
Every software delivers only things that are either a vehicle or a food.,Software ⊑ ∀delivers.(Vehicle ⊔ Food)
A building is always a scientist.,Building ⊑ Scientist
Each account has child a hardware.,Account ⊑ ∃hasChild.Hardware
Every library is a music that creates at least one transaction.,Library ⊑ Music ⊓ ∃creates.Transaction
Every scientist is either a city or a music.,Scientist ⊑ City ⊔ Music
A software cannot be a service.,Software ⊑ ¬Service
Every country is a software that maintains only customers.,Country ⊑ Software ⊓ ∀maintains.Customer
A machine uses exclusively orders.,Machine ⊑ ∀uses.Order
A project is neither a bank nor a scientist.,Project ⊑ ¬(Bank ⊔ Scientist)
A dog or a building.,Dog ⊔ Building
A building cannot be a patient.,Building ⊑ ¬Patient
Every publication is a country that owns only customers.,Publication ⊑ Country ⊓ ∀owns.Customer
All doctors are transactions.,Doctor ⊑ Transaction
Every customer that authors only accounts is a country.,Customer ⊓ ∀authors.Account ⊑ Country
All hardwares are publications as well as vehicles.,Hardware ⊑ Publication ⊓ Vehicle
Every course is both a machine and a product.,Course ⊑ Machine ⊓ Product
Every patient is both a city and a device.,Patient ⊑ City ⊓ Device
Every supplier is a course.,Supplier ⊑ Course
Nothing that is a school is a university.,School ⊑ ¬University
A hardware treats exclusively vehicles.,Hardware ⊑ ∀treats.Vehicle
No teacher is a researcher.,Teacher ⊑ ¬Researcher
Every student is both a department and a person.,Student ⊑ Department ⊓ Person
Every school that reads a customer is a service.,School ⊓ ∃reads.Customer ⊑ Service
Every researcher uses at least one teacher.,Researcher ⊑ ∃uses.Teacher
Every artist operates only things that are either a scientist or a movie.,Artist ⊑ ∀operates.(Scientist ⊔ Movie)
Every library supervises something that is both a building and a account.,Library ⊑ ∃supervises.(Building ⊓ Account)
No person is a hardware.,Person ⊑ ¬Hardware
A food and a customer.,Food ⊓ Customer
All transactions are citys.,Transaction ⊑ City
Every doctor is either a music or a city.,Doctor ⊑ Music ⊔ City
Every employee reads only buildings.,Employee ⊑ ∀reads.Building
Every hardware attends something that is both a music and a publication.,Hardware ⊑ ∃attends.(Music ⊓ Publication)
Every machine is either a animal or a invoice.,Machine ⊑ Animal ⊔ Invoice
Every library has child only things that are either a patient or a teacher.,Library ⊑ ∀hasChild.(Patient ⊔ Teacher)
A transaction and a student.,Transaction ⊓ Student
Nothing that is a person is a food.,Person ⊑ ¬Food
Every machine that works for only customers is a product.,Machine ⊓ ∀worksFor.Customer ⊑ Product
Every teacher is either a student or a bank.,Teacher ⊑ Student ⊔ Bank
A movie is something that is located in a customer.,Movie ⊑ ∃locatedIn.Customer
A manager is always a person.,Manager ⊑ Person
All accounts are defined as a animal or a doctor.,Account ⊑ Animal ⊔ Doctor
Every car that buys a organization is a person.,Car ⊓ ∃buys.Organization ⊑ Person
"If a dog maintains anything, it must be a patient.",Dog ⊑ ∀maintains.Patient
Every machine sells only things that are either a company or a engineer.,Machine ⊑ ∀sells.(Company ⊔ Engineer)
All schools are engineers.,School ⊑ Engineer
A hardware is neither a book nor a order.,Hardware ⊑ ¬(Book ⊔ Order)
"If a book treats anything, it must be a organization.",Book ⊑ ∀treats.Organization
Every software develops at least one transaction.,Software ⊑ ∃develops.Transaction
Anything that maintains only courses.,∀maintains.Course
Each person operates a school.,Person ⊑ ∃operates.School
A hardware is something that develops a school.,Hardware ⊑ ∃develops.School
No building is a school.,Building ⊑ ¬School
Every hospital is a engineer that knows at least one manager.,Hospital ⊑ Engineer ⊓ ∃knows.Manager
Every food is a machine.,Food ⊑ Machine
All devices are defined as a service or a manager.,Device ⊑ Service ⊔ Manager
Whatever is both a customer and a student maintains a bank.,Customer ⊓ Student ⊑ ∃maintains.Bank
Every doctor is both a publication and a student.,Doctor ⊑ Publication ⊓ Student
A bank is something that funds a plant.,Bank ⊑ ∃funds.Plant
Every device supervises only hardwares.,Device ⊑ ∀supervises.Hardware
Every animal is a doctor.,Animal ⊑ Doctor
A device is neither a food nor a publication.,Device ⊑ ¬(Food ⊔ Publication)
Every service uses something that is both a food and a cat.,Service ⊑ ∃uses.(Food ⊓ Cat)
Every hospital is either a researcher or a service.,Hospital ⊑ Researcher ⊔ Service
A hospital cannot be a organization.,Hospital ⊑ ¬Organization
Nothing that is a manager is a patient.,Manager ⊑ ¬Patient
Every music is located in something that is both a hardware and a project.,Music ⊑ ∃locatedIn.(Hardware ⊓ Project)
A scientist is always a account.,Scientist ⊑ Account
A order cannot be a company.,Order ⊑ ¬Company
A scientist cannot be a building.,Scientist ⊑ ¬Building
A manager delivers exclusively products.,Manager ⊑ ∀delivers.Product
Whatever is both a country and a transaction is located in a food.,Country ⊓ Transaction ⊑ ∃locatedIn.Food
A patient cannot be a hardware.,Patient ⊑ ¬Hardware
A food or a hospital.,Food ⊔ Hospital
A university is something that develops a publication.,University ⊑ ∃develops.Publication
A publication cannot be a food.,Publication ⊑ ¬Food
Every device that teaches a student is a transaction.,Device ⊓ ∃teaches.Student ⊑ Transaction
A artist is always a supplier.,Artist ⊑ Supplier
Whatever is both a cat and a invoice teaches a company.,Cat ⊓ Invoice ⊑ ∃teaches.Company
Each course is located in a vehicle.,Course ⊑ ∃locatedIn.Vehicle
Anything that authors a building also authors a department.,∃authors.Building ⊑ ∃authors.Department
"If a engineer is located in anything, it must be a dog.",Engineer ⊑ ∀locatedIn.Dog
Every employee is a doctor.,Employee ⊑ Doctor
Every school is a department that delivers at least one course.,School ⊑ Department ⊓ ∃delivers.Course
All citys are accounts as well as products.,City ⊑ Account ⊓ Product
A invoice cannot be a manager.,Invoice ⊑ ¬Manager
Every food works for something that is both a person and a building.,Food ⊑ ∃worksFor.(Person ⊓ Building)
All plants are hardwares.,Plant ⊑ Hardware
A employee is neither a doctor nor a researcher.,Employee ⊑ ¬(Doctor ⊔ Researcher)
All departments are defined as a person or a engineer.,Department ⊑ Person ⊔ Engineer
Whatever is both a patient and a movie likes a doctor.,Patient ⊓ Movie ⊑ ∃likes.Doctor
Nothing that is a order is a doctor.,Order ⊑ ¬Doctor
All employees are defined as a car or a product.,Employee ⊑ Car ⊔ Product
A book cannot be a teacher.,Book ⊑ ¬Teacher
Every order creates something that is both a machine and a dog.,Order ⊑ ∃creates.(Machine ⊓ Dog)
Every person is a building.,Person ⊑ Building
Every music develops only things that are either a doctor or a university.,Music ⊑ ∀develops.(Doctor ⊔ University)
Every animal likes something that is both a hardware and a account.,Animal ⊑ ∃likes.(Hardware ⊓ Account)
Every organization that treats a car is a music.,Organization ⊓ ∃treats.Car ⊑ Music
Every device reads something that is both a school and a service.,Device ⊑ ∃reads.(School ⊓ Service)
A hardware reads exclusively devices.,Hardware ⊑ ∀reads.Device
All countrys are defined as a publication or a scientist.,Country ⊑ Publication ⊔ Scientist
Anything that sells only universitys.,∀sells.University
A animal and a software.,Animal ⊓ Software
Whatever is both a transaction and a manager is located in a teacher.,Transaction ⊓ Manager ⊑ ∃locatedIn.Teacher
Every plant is either a teacher or a project.,Plant ⊑ Teacher ⊔ Project
Every engineer is a supplier that creates only cars.,Engineer ⊑ Supplier ⊓ ∀creates.Car
Nothing that is a manager is a service.,Manager ⊑ ¬Service
Whatever is both a transaction and a food is located in a product.,Transaction ⊓ Food ⊑ ∃locatedIn.Product
Every city reads only cats.,City ⊑ ∀reads.Cat
Every employee operates only suppliers.,Employee ⊑ ∀operates.Supplier
A teacher is something that attends a order.,Teacher ⊑ ∃attends.Order
A hardware is located in exclusively cars.,Hardware ⊑ ∀locatedIn.Car
Whatever is both a animal and a software attends a university.,Animal ⊓ Software ⊑ ∃attends.University
"If a animal owns anything, it must be a department.",Animal ⊑ ∀owns.Department
Every artist treats at least one animal.,Artist ⊑ ∃treats.Animal
"If a employee buys anything, it must be a cat.",Employee ⊑ ∀buys.Cat
All suppliers are accounts as well as employees.,Supplier ⊑ Account ⊓ Employee
Each engineer works for a cat.,Engineer ⊑ ∃worksFor.Cat
All vehicles are defined as a supplier or a course.,Vehicle ⊑ Supplier ⊔ Course
Nothing that is a transaction is a person.,Transaction ⊑ ¬Person
"If a cat teaches anything, it must be a dog.",Cat ⊑ ∀teaches.Dog
Anything that designs a bank.,∃designs.Bank
Every movie is a scientist.,Movie ⊑ Scientist
No doctor is a patient.,Doctor ⊑ ¬Patient
Every patient has child at least one scientist.,Patient ⊑ ∃hasChild.Scientist
A cat cannot be a organization.,Cat ⊑ ¬Organization
Every customer is a employee that delivers only librarys.,Customer ⊑ Employee ⊓ ∀delivers.Library
Nothing that is a course is a artist.,Course ⊑ ¬Artist
Every engineer that likes a food is a car.,Engineer ⊓ ∃likes.Food ⊑ Car
Every company creates only things that are either a bank or a doctor.,Company ⊑ ∀creates.(Bank ⊔ Doctor)
Nothing that is a person is a doctor.,Person ⊑ ¬Doctor
Nothing that is a product is a dog.,Product ⊑ ¬Dog
Anything that reads a employee also reads a person.,∃reads.Employee ⊑ ∃reads.Person
A bank is neither a employee nor a doctor.,Bank ⊑ ¬(Employee ⊔ Doctor)
Whatever is both a plant and a music creates a library.,Plant ⊓ Music ⊑ ∃creates.Library
A country maintains exclusively products.,Country ⊑ ∀maintains.Product
Every organization is either a teacher or a product.,Organization ⊑ Teacher ⊔ Product
Every hospital delivers only things that are either a patient or a product.,Hospital ⊑ ∀delivers.(Patient ⊔ Product)
A publication and a service.,Publication ⊓ Service
All plants are accounts.,Plant ⊑ Account
All cars are defined as a music or a student.,Car ⊑ Music ⊔ Student
A manager is neither a employee nor a person.,Manager ⊑ ¬(Employee ⊔ Person)
A library or a engineer.,Library ⊔ Engineer
A transaction is neither a person nor a vehicle.,Transaction ⊑ ¬(Person ⊔ Vehicle)
Whatever is both a machine and a researcher is located in a person.,Machine ⊓ Researcher ⊑ ∃locatedIn.Person
All vehicles are defined as a publication or a teacher.,Vehicle ⊑ Publication ⊔ Teacher
All universitys are engineers.,University ⊑ Engineer
A manager is always a software.,Manager ⊑ Software
Anything that likes only cars.,∀likes.Car
Whatever is both a engineer and a department knows a software.,Engineer ⊓ Department ⊑ ∃knows.Software
All librarys are defined as a city or a food.,Library ⊑ City ⊔ Food
Every food is either a project or a teacher.,Food ⊑ Project ⊔ Teacher
A teacher is always a employee.,Teacher ⊑ Employee
A device has child exclusively persons.,Device ⊑ ∀hasChild.Person
Every device teaches at least one order.,Device ⊑ ∃teaches.Order
A software is always a customer.,Software ⊑ Customer
Anything that owns a teacher.,∃owns.Teacher
Anything that creates a company.,∃creates.Company
A account cannot be a vehicle.,Account ⊑ ¬Vehicle
A organization delivers exclusively animals.,Organization ⊑ ∀delivers.Animal
All persons are defined as a car or a student.,Person ⊑ Car ⊔ Student
Anything that likes a customer.,∃likes.Customer
Every course is either a person or a vehicle.,Course ⊑ Person ⊔ Vehicle
All hospitals are defined as a person or a manager.,Hospital ⊑ Person ⊔ Manager
Every dog supervises at least one country.,Dog ⊑ ∃supervises.Country
Nothing that is a organization is a patient.,Organization ⊑ ¬Patient
All employees are departments as well as machines.,Employee ⊑ Department ⊓ Machine
Nothing that is a movie is a device.,Movie ⊑ ¬Device
Every cat is both a car and a animal.,Cat ⊑ Car ⊓ Animal
A person is always a teacher.,Person ⊑ Teacher
Every invoice is a library that knows at least one teacher.,Invoice ⊑ Library ⊓ ∃knows.Teacher
Every software is both a person and a artist.,Software ⊑ Person ⊓ Artist
A university is something that has child a country.,University ⊑ ∃hasChild.Country
A researcher cannot be a doctor.,Researcher ⊑ ¬Doctor
Each car has child a publication.,Car ⊑ ∃hasChild.Publication
A library or a cat.,Library ⊔ Cat
A device is neither a hardware nor a software.,Device ⊑ ¬(Hardware ⊔ Software)
Every doctor is either a device or a department.,Doctor ⊑ Device ⊔ Department
A machine authors exclusively orders.,Machine ⊑ ∀authors.Order
Every teacher reads at least one car.,Teacher ⊑ ∃reads.Car
Every department is a person that treats only banks.,Department ⊑ Person ⊓ ∀treats.Bank
Each food authors a plant.,Food ⊑ ∃authors.Plant
A country is always a service.,Country ⊑ Service
A plant is always a course.,Plant ⊑ Course
A hardware is neither a person nor a department.,Hardware ⊑ ¬(Person ⊔ Department)
A bank is something that funds a course.,Bank ⊑ ∃funds.Course
Every scientist authors something that is both a transaction and a movie.,Scientist ⊑ ∃authors.(Transaction ⊓ Movie)
A plant is always a school.,Plant ⊑ School
A hospital creates exclusively transactions.,Hospital ⊑ ∀creates.Transaction
All orders are defined as a device or a patient.,Order ⊑ Device ⊔ Patient
A researcher is neither a university nor a order.,Researcher ⊑ ¬(University ⊔ Order)
"If a food operates anything, it must be a cat.",Food ⊑ ∀operates.Cat
A transaction is always a machine.,Transaction ⊑ Machine
Every service that authors only banks is a building.,Service ⊓ ∀authors.Bank ⊑ Building
Every bank that operates a patient is a customer.,Bank ⊓ ∃operates.Patient ⊑ Customer
Every teacher likes only accounts.,Teacher ⊑ ∀likes.Account
Every bank is both a building and a software.,Bank ⊑ Building ⊓ Software
Anything that supervises a vehicle also supervises a manager.,∃supervises.Vehicle ⊑ ∃supervises.Manager
Whatever is both a department and a university likes a company.,Department ⊓ University ⊑ ∃likes.Company
Whatever is both a animal and a employee manages a movie.,Animal ⊓ Employee ⊑ ∃manages.Movie
Every publication sells only courses.,Publication ⊑ ∀sells.Course
Nothing that is a person is a employee.,Person ⊑ ¬Employee
A engineer and a organization.,Engineer ⊓ Organization
Every car is a publication that treats at least one movie.,Car ⊑ Publication ⊓ ∃treats.Movie
All countrys are doctors.,Country ⊑ Doctor
Anything that designs a music.,∃designs.Music
A school cannot be a researcher.,School ⊑ ¬Researcher
All accounts are defined as a device or a scientist.,Account ⊑ Device ⊔ Scientist
